Time_s,Probe1_Elevation_m,Probe2_Elevation_m,Probe3_Elevation_m
686.4,-0.372524211247763,0.229952929814656,0.0668913610776265
686.6,-0.306829402287802,-0.157370449701945,0.0310007818539937
686.8,-0.188981959660849,-0.457894207636516,-0.10104114929835
687,-0.0976628754933682,-0.629143597284953,-0.257957767645518
687.2,-0.0716275666554775,-0.894595982233684,-0.306433033148448
687.4,-0.11069483502706,-1.09528720537821,-0.197497677008311
687.6,-0.228208491643271,-1.33794677416484,-0.137170147101084
687.8,-0.398845622380575,-1.63727748552958,-0.00494415680567428
688,-0.623580882390341,-1.85690295855204,0.198075939019521
688.2,-0.86353678448995,-2.0642803923289,0.150450397332509
688.4,-1.1190909837087,-2.37108028093974,0.269356418450673
688.6,-1.32250494702657,-2.51158511797587,0.399519611199697
688.8,-1.40428728802999,-2.53976810137431,0.669562984307607
689,-1.43159575208028,-2.63860595385234,0.809337306817373
689.2,-1.41793913586934,-2.75196349779765,0.611101795037587
689.4,-1.37699789746602,-2.62447059313456,0.257487941582998
689.6,-1.32250494702657,-2.25915229479472,-0.22165996948878
689.8,-1.200279185613,-1.85690295855204,-0.820907901922862
690,-1.13260645612081,-1.59627711931864,-1.15704281250636
690.2,-1.0381412003835,-1.54170692125956,-1.4341214410464
690.4,-0.743300387700399,-1.54170692125956,-1.71411163727442
690.6,-0.333086917241415,-1.54170692125956,-1.89382965485255
690.8,0.135761311213175,-0.735032917658488,-2.02293713013331
691,0.558595707575479,0.650024531682332,-2.17869121948878
691.2,0.899723103205362,0.98915493329366,-2.25690967957179
691.4,1.08738904253642,1.0515176041921,-2.17869121948878
691.6,1.16209225908915,1.31192123730977,-1.82950336853663
691.8,1.22418980852763,1.47192108472188,-1.70132000366847
692,1.22418980852763,1.41049301465352,-1.52288849274317
692.2,1.19936566607157,1.36125290234884,-1.3204158059756
692.4,1.19936566607157,1.37357055981954,-1.24489052216212
692.6,1.1869507338206,1.31192123730977,-1.05699760834376
692.8,1.19936566607157,1.20061409314473,-0.870431255499522
693,1.21178250567118,1.01411926587423,-0.648291896979014
693.2,1.21178250567118,0.78868114789327,-0.257957767645518
693.4,1.16209225908915,0.536073802312215,0.0668913610776265
693.6,1.07492070452372,0.370663760503133,0.30491416533788
693.8,0.974947025934854,0.178606150945027,0.552504230340322
694,0.849454929987589,0.114298938115438,0.913658786614736
694.2,0.736013462702433,0.0369435532887774,1.29256694396337
694.4,0.622091343561808,0.0111066087086993,1.44028346618017
694.6,0.507688572565714,0.165758250554402,1.57587878783544
694.8,0.392805149714151,0.370663760503133,1.80025737365087
695,0.251730015436808,0.536073802312215,2.06686847289403
695.2,0.0452166105906162,0.523381350835164,2.35250918944677
695.4,-0.149806926091513,0.472565768559774,2.43974177916845
695.6,-0.31995768292745,0.459845660527547,2.41796176513036
695.8,-0.464755961736044,0.357901690800984,2.48324077208837
696,-0.570535609563192,0.229952929814656,2.4941069372495
696.2,-0.676727244695028,0.152897952397664,2.4070650823911
696.4,-0.729972789128622,0.0240250809987383,2.23206584533056
696.6,-0.743300387700399,-0.0276831404368085,1.8560339697202
696.8,-0.703338572820028,-0.0535753981272382,1.36085383971532
697,-0.650140712102255,-0.0406254545847577,0.994510341485341
697.2,-0.504376361211142,-0.0276831404368085,0.458466220696767
697.4,-0.31995768292745,0.101423381169637,0.221863437493642
697.6,-0.0326270554860439,0.281193850835164,0.019019771416982
697.8,0.315942814509073,0.40892040570577,-0.089012455145518
698,0.64744954363505,0.40892040570577,-0.330704998175303
698.2,0.937362721125284,0.44712555249532,-0.44020016113917
698.4,1.1869507338206,0.44712555249532,-0.660586666266124
698.6,1.33559994951884,0.951678393681844,-0.808538746039073
698.8,1.32324414507548,1.29957687695821,-0.90764458100001
699,1.21178250567118,1.29957687695821,-0.982215236822764
699.2,0.999978115717569,1.34892570813497,-0.969771694342295
699.4,0.761263897577921,1.20061409314473,-0.932476352850596
699.6,0.494950344721476,1.06397259076436,-0.85804684082667
699.8,0.277436306635538,0.864024279912313,-0.895236324469249
700,0.0969944502512607,0.675284503300984,-0.882835697333018
700.2,-0.0976628754933682,0.370663760503133,-1.04451877991358
700.4,-0.359370181401571,0.345131038029988,-1.21976120392481
700.6,-0.716649958928427,0.152897952397664,-1.29521591583888
700.8,-1.09208292706808,-0.801414372126262,-1.34564335266749
701,-1.36336321576436,-1.31088626543681,-1.35826713959376
701.2,-1.55940718396505,-1.87067496935527,-1.33303196350733
701.4,-1.66253466351827,-2.13373363176982,-1.2323220483462
701.6,-1.68550200208028,-2.14764201800029,-1.04451877991358
701.8,-1.59373945935567,-2.31506335894267,-0.882835697333018
702,-1.39064020856222,-2.38510501543681,-0.771474193731944
702.2,-1.1190909837087,-2.1615589872996,-0.746791195074717
702.4,-0.783321330388388,-1.96732223192851,-0.759128879706065
702.6,-0.451557109196981,-1.8293589369456,-0.574655841986338
702.8,-0.162860820134481,-1.44644439379374,-0.525684665838877
703,0.0711155440012607,-1.13559043566386,-0.379309009710948
703.2,0.187358906428019,-0.735032917658488,-0.173349689642588
703.4,0.225997975031534,-0.418515087763469,-0.0649665109316508
703.6,0.277436306635538,-0.196394802729289,0.150450397332509
703.8,0.354404499689737,-0.0406254545847577,0.293069530328115
704,0.392805149714151,0.165758250554402,0.411317516167959
